episode,alpha = 0.9,alpha = 0.7,alpha = 0.5
135.0,51.54579094739911,24.585363011580586,12.496382111119624
136.0,55.28731939231477,23.327136421718464,12.694541573598562
137.0,56.430861282032815,23.5544174234817,13.09119824340534
138.0,57.04863043517606,24.220372508161926,13.43935557195912
139.0,56.68135246680556,25.009566135649294,13.444716666780204
140.0,55.93066961293838,24.761298953616688,13.964583260993894
141.0,56.3360255542421,24.006457409463774,13.24477399098569
142.0,57.83985290522147,23.302197645492793,14.146868205937437
143.0,59.01486781118867,23.554812114939445,15.661848732995367
144.0,60.87892174144235,24.1009710011225,17.648123683118534
145.0,61.899037908882995,26.364735440461082,19.469077022945154
146.0,63.96341398917282,28.654856808801505,20.550234035184886
147.0,65.1495598412287,30.6299939313241,21.38904961275362
148.0,66.39081492365995,31.65766180534269,23.00160655152646
149.0,66.1541381132567,32.13709246251768,25.43117532595668
150.0,65.22273317839351,32.46190580128557,27.350558479400007
151.0,63.47388570428764,32.209972668614476,28.753473815072702
152.0,62.232029920750925,32.15380213371397,30.11460309271941
153.0,59.77314294758924,33.136857211008376,30.55956574228717
154.0,56.47999582919604,33.18941182816324,31.0548829470311
155.0,53.505051169536586,33.349685239968615,30.92016657870056
156.0,51.84568298662812,34.249298000036276,32.2651197546206
157.0,50.92492310213202,35.2498638822693,33.62479381667261
158.0,51.47049916028306,36.729513220548235,33.3049586318705
159.0,51.46225629044371,38.41193198230232,34.24405003982938
160.0,52.0326938483801,40.58224508079536,33.68243606162061
161.0,52.021525500604874,42.325222926664054,32.9026753355372
162.0,52.87768981382226,43.15669727148823,32.81756418805682
163.0,52.71078942821165,43.180019821869664,33.32210890867889
164.0,52.64077629273615,42.92559461305798,34.108928211195824
165.0,52.158125512848,42.08019568647663,33.750003704472356
166.0,51.340264902064284,41.875641551056155,32.63978226325826
167.0,49.57784726381284,42.073185599958485,32.49982924652403
168.0,49.20650940568528,42.57471604326226,32.08289589282693
169.0,48.39592836743192,42.68205979262374,31.605943719176366
170.0,47.65652194375274,42.718858176198275,32.205171237100785
171.0,46.328721963668286,43.91944177930508,32.29218004430456
172.0,45.014098328533294,45.72353272286599,31.565806787880707
173.0,42.59386128551486,47.675054549724265,30.806741694961435
174.0,41.624490897263755,49.70982690207764,30.543911831109995
175.0,40.284467341817965,51.977018949959565,31.569325544864995
176.0,39.89077957103724,53.83586145902117,31.79060751786403
177.0,38.496319653926896,54.67058853206097,31.470192388691878
178.0,37.28172770003371,55.71686636008088,31.378842860914027
179.0,35.59200574805342,56.18971795783634,30.739956936809822
180.0,34.27953182904403,55.912434685093075,29.676195865511342
181.0,34.025124421924815,55.967415970165476,29.519162000330603
182.0,35.431708124445706,55.11198599616628,29.277655095163507
183.0,35.49961091254267,54.004984582215094,27.534194054763866
184.0,35.402958425506846,51.916470194978565,25.664052506178745
185.0,36.12318079131878,50.58792198444699,24.612699208757306
186.0,37.74351828104686,49.028617650263314,23.781116206573216
187.0,38.420738889258,47.00593935107702,22.936633404814216
188.0,39.5358491930166,47.2900557873802,22.046176344448575
189.0,41.73989129861922,46.93802624235393,22.706761367721512
190.0,43.31548405985072,46.308897986917614,23.41220805739416
191.0,44.527361978455524,46.45297480376897,25.043800998506512
192.0,43.34276473298519,45.79416019774796,27.809585915810494
193.0,45.40147204510113,46.02734218988789,29.80921737931792
194.0,45.37002922953874,46.027665553218,31.328253515335387
195.0,46.27726827197584,46.47688395654026,32.47895389874786
196.0,48.086107027254165,46.80959848384299,34.28861892666882
197.0,50.542304850561436,46.52098149799844,36.87049852039983
198.0,51.529465168417005,46.812097682832174,38.69807325890699
199.0,51.72338770685883,47.114714523651315,40.43222228172682
200.0,51.61912590205953,47.30837776028758,41.83713423312705
201.0,53.75355274646495,48.180479573979085,42.55945893075376
202.0,51.952566872563466,48.05742265079006,43.27353803390896
203.0,51.2873828709755,47.68949957009198,42.758004462732316
204.0,49.06039733828643,48.974484612512974,42.57939570055419
205.0,46.69071696737499,50.48624734703833,41.740499938447336
206.0,44.52883555350981,51.1617818784396,40.44850676122766
207.0,41.9972036349576,52.153784163048286,38.52058313791953
208.0,40.66300346306971,53.099322517427915,36.84171834440693
209.0,38.38290495091406,53.46131281759817,34.42464665582258
210.0,37.465693927204356,53.69846490863529,31.746138682090574
211.0,37.09793107697757,54.17657439221534,29.293775415117246
212.0,36.76928615950178,54.036325070007216,27.852138171146727
213.0,37.427570631379396,52.5437007145717,26.26585096266841
214.0,37.954988286637594,51.442685914239846,25.459262795871695
215.0,37.491873146481474,49.24651002590962,24.489003744721405
216.0,37.885721510903174,46.59698312135487,23.316350918061122
217.0,38.72230003135699,43.64472404028887,21.483857516398587
218.0,41.3545595124406,41.42409591892742,20.00539169912895
219.0,42.89246828738889,39.396864173752576,19.403097647723662
220.0,44.46517401746499,38.34902378724355,17.942396858441064
221.0,46.5007202406792,37.39191132818352,17.307859756896256
222.0,48.18304294262629,37.068618609012795,17.08657003153794
223.0,50.71684803318544,36.00602528547652,16.682230330188013
224.0,53.098562770396136,35.84832094382319,16.736062137917198
225.0,55.110149072692856,36.896924477539194,18.238968654039144
226.0,56.550392873675136,37.863572057975816,19.17702775743065
227.0,57.01004740095845,37.816931720656456,19.862979080635974
228.0,57.618300862766944,37.607831261894134,20.267814178282837
229.0,58.330377053958046,36.84748698808341,21.071729539042295
230.0,58.91060781675965,35.92157279800876,21.204733786577023
231.0,59.49822671758966,35.46672151003873,20.11422732525912
232.0,59.64639261018257,35.815533980626576,19.60471123964233
233.0,60.036035302354314,36.2253777547662,18.292600610645394
234.0,60.38440455014113,35.82186541203923,17.105670392879933
235.0,61.21926503524871,36.061495842635225,17.057941769125694
236.0,61.77875982072437,36.78606744761527,18.102081536115183
237.0,61.345355361545,37.061103470897095,20.46738406076497
238.0,60.633277607068315,36.151812904003414,21.75874416971586
239.0,59.77536042118472,36.120117727043606,23.871713809387614
240.0,58.73600952372676,35.8563858196917,26.667718885995882
241.0,56.8813670117005,36.07567254924459,29.26149347713086
242.0,54.40929943471139,36.114061669268594,31.7208216671025
243.0,52.34500759813628,36.734403147529555,33.529771461486526
244.0,49.252933704587,36.95055446196112,35.808492182262825
245.0,46.531155448998895,36.71093080199285,37.55218585302116
246.0,45.276275794747804,37.74289921750852,38.077811482038584
247.0,44.48958482472903,39.51031265299444,39.72559948914909
248.0,43.09984154730614,41.377438689999195,40.75260588028732
249.0,41.78841135139677,43.42098651609126,41.86668840508145
250.0,41.918288374777276,45.450475979977796,42.29405281629798
251.0,43.72682900684433,47.45328366143987,43.21682380939394
252.0,45.92513779862914,48.99635978227054,44.09747610803485
253.0,49.12360633493912,50.28950654664301,44.496442139224854
254.0,51.98017457298296,52.19483003618158,44.80888379608176
255.0,53.64074370684999,53.5885057659116,46.01083667092281
256.0,55.631409565416895,55.55862790275205,47.27847493897893
257.0,58.59344083094283,56.410984447041315,47.94295257135348
258.0,61.15168595865132,57.22369860903917,48.05910900525395
259.0,63.88912420919654,56.27472540736466,47.76673914059412
260.0,65.6919975120874,56.124960125768034,47.38228612849187
261.0,66.73541831046018,56.130566671679816,46.75932149724844
262.0,67.0605512252766,57.29306922742778,45.02955549244185
263.0,67.50507937220368,58.41228503872092,43.988329785300884
264.0,69.01284145662198,59.68600537581635,42.65134158800632
265.0,71.35607998164411,60.93969238200262,42.205821153054856
266.0,73.05893133794555,62.83614363976954,41.97491177032247
267.0,75.19189231616343,64.40103558800072,41.76994490463568
268.0,76.51766851656227,66.44949851613322,42.33543821407631
269.0,77.55070247835498,68.07813557678048,43.10071175706093
270.0,77.77933327802779,68.92561940960522,42.74406889280349
271.0,77.89764424006088,68.80624328096543,43.55073801942938
272.0,77.37430534745745,68.4871695313807,43.69628860319268
273.0,75.90648116161043,67.89026468535481,42.565307025890284
274.0,73.56898220423253,67.59665005322877,40.57309124294944
275.0,72.78877145510232,67.27022144082297,38.8447066646215
276.0,72.53166794520578,66.17675848102644,38.18815564016229
277.0,71.35178414524538,65.38366214733988,37.16287753253153
278.0,70.141596183743,64.05038402627797,35.77790476458581
279.0,70.10460901519154,63.08224752636208,35.40794409522808
280.0,70.37768330761475,62.771670258091625,35.04593871155002
281.0,70.17997534212611,62.61417059114123,34.16138295025543
282.0,70.22422108662425,61.960276905977466,33.7685077962513
283.0,69.75725276148427,60.84585911893999,33.3526714649466
284.0,68.39579150969296,60.18593827689276,31.96429544250669
285.0,65.92478928692998,59.89829572676833,30.34868306145157
286.0,65.65521175945565,59.42472736964822,29.116053445275302
287.0,66.45318000787171,58.80256379465261,27.824583659531285
288.0,66.97615353742178,58.65405937647472,27.009922744289824
289.0,67.89952806262927,58.051684340051466,26.58641460130196
290.0,69.19988672529858,58.093929661381424,26.86905553146483
291.0,70.37507451150728,58.32308261161737,27.224229854194988
292.0,71.75771680689688,58.846910855761706,28.605880065924524
293.0,72.49972192372577,58.81112910659525,31.36689762088595
294.0,73.42397786327585,58.54172557494498,33.68705813415512
295.0,72.73041567786798,59.11119963698235,35.38388577488405
296.0,71.3061807012498,60.50030935526841,37.89587552572528
297.0,69.98481427878524,60.2729518580309,39.97833521879923
298.0,69.0210877372603,59.43037337253568,41.07589998047826
299.0,68.99719249554191,58.4149004503169,41.75183278409904
300.0,69.64790895705674,58.15015303036557,42.24072257195504
301.0,70.98729893491279,57.67944152585532,41.510699115531466
302.0,73.35338104900282,57.99901238397099,41.02497426893526
303.0,75.47719774411895,58.498464255597035,40.50752257033131
304.0,78.41681186940542,58.00365560684162,39.98764018394758
305.0,81.24065962489088,56.588865685149024,38.94807620440414
306.0,83.79280761860774,56.41309013098766,37.84780296235106
307.0,85.56451565645868,56.21076003558932,36.845743424405285
308.0,86.25598518985603,55.63210066517384,35.833826895128354
309.0,87.02166491792056,54.41279286515051,35.80669178266557
310.0,87.21406807947673,52.86932862807898,36.594568515625156
311.0,85.89749312541416,50.47679328015809,35.88050415859037
312.0,84.81296354599336,49.11648573855312,34.718878398434185
313.0,84.20005536419984,48.00662989892715,35.1033344596762
314.0,81.50501637546995,47.85691146341199,35.37507358008153
315.0,79.60099596257687,47.816797172110334,36.37469070029933
316.0,77.39824726153331,48.77483535496659,38.142970493618414
317.0,76.52552199515688,51.11746920876054,39.77497614509777
318.0,75.49223862271438,53.653208852284976,40.47834354510948
319.0,74.73325330355752,56.24002413926956,40.97890684095295
320.0,74.06460766423531,59.378298013502956,42.25038474526288
321.0,73.46807688943223,61.73851411945649,44.530521826840406
322.0,71.69730813785269,64.20914592182439,46.12773639295925
323.0,72.72656001776878,65.43758549552177,47.37644507486955
324.0,73.39120304219674,65.7618939750177,48.21301417840739
325.0,75.34767798561518,65.46720967510456,48.95767766140068
326.0,77.44167629802124,63.82153472953585,49.81505299558516
327.0,79.12399225484278,62.029062990378605,50.93701060583138
328.0,80.33825964564537,60.20506681403885,51.30042321445298
329.0,81.66006186055338,57.07593429747005,51.055599537090266
330.0,83.94495557867546,54.090792465595555,50.469803738733425
331.0,85.46210072177998,50.88664034873472,49.246882925015406
332.0,87.23687387285469,48.181943955215644,48.24072737882566
333.0,88.51815129452872,46.3001990756277,47.534593996016376
334.0,89.63261379882314,45.34342275248223,46.515127892029284
335.0,90.20214074677999,44.83479145992176,46.277088540151425
336.0,90.74534306139209,43.610047168901936,46.21108017438878
337.0,91.39857993862664,42.19408649298591,45.59852351266454
338.0,91.93915292219184,41.271902206534165,45.578548741981535
339.0,90.82662333848293,40.356849343704226,46.22649970676377
340.0,90.7875651861532,40.47824719261475,47.052138581213974
341.0,89.78936123542384,40.34891917117085,46.982253330732014
342.0,88.30739169895281,40.255342875294204,46.37400628181858
343.0,85.86940514845637,39.82515906906335,45.75238437569586
344.0,83.11616687310722,38.99087952321158,44.82994239228162
345.0,80.81045911360991,39.408242794472756,43.42908922517597
346.0,79.16515050493923,39.51530068485569,44.46478880089987
347.0,77.57931598895922,40.23530800847621,45.40812553524963
348.0,76.36143451265407,40.887932459243146,45.02735873335696
349.0,75.33497326768773,41.45438205883613,45.039339173284574
350.0,74.68379601260752,43.00052932982175,45.842734167577404
351.0,74.51966583584718,44.106401185893475,48.076801605198284
352.0,74.70950976241167,44.1945567104863,50.0206434670998
353.0,76.50859449426235,45.338304861169554,51.21702011468031
354.0,77.9841347457727,47.13460971962193,52.88772753444728
355.0,78.33172304048584,49.08856517028782,52.93089231482969
356.0,79.17258617053909,51.11692703473308,53.69223221583871
357.0,78.6775918548899,52.5295455312113,54.56075954084532
358.0,78.62452923830378,52.865119912224316,54.7786775640966
359.0,77.95967980072993,52.83078393501691,54.47863622152464
360.0,77.93670754375376,52.82108905471891,52.74456919635384
361.0,77.87687647651991,53.300502967672486,51.72096825529736
362.0,76.6933945032086,53.20227081021212,50.9440687952193
363.0,75.5069327825797,51.994099920681876,50.37442360309212
364.0,74.36676147604231,51.808301453349365,49.90087767279339
365.0,73.31419095693015,51.59578557099631,48.98924932277914
366.0,74.5751403454532,51.864167708748674,47.52748427540185
367.0,74.83949626243741,52.50471335098323,46.746886451847345
368.0,75.99919101075287,52.65332175010112,45.998327968104796
369.0,77.09468559683083,52.92261239840362,45.40515925313253
370.0,78.0728956862281,54.0507681277405,44.15403471521996
371.0,78.90908566155686,54.94569199887475,43.47132875148232
372.0,80.01570757812891,55.560938670757984,42.80983546246597
373.0,81.23101121690912,55.2783025376517,42.447222937755775
374.0,81.91001918992035,54.76846972398445,42.09071356767566
375.0,82.00934769204179,54.17896332817468,42.39391298580629
376.0,82.2287177318687,54.272366818133406,42.403529017035304
377.0,82.02977107925142,55.32467736730626,42.669114006412194
378.0,80.73322879408487,56.09277139544011,42.898575485054046
379.0,80.1302445250837,55.463195848103815,43.43457178204915
380.0,78.97539767910523,54.75199869582585,43.38810918404121
381.0,78.43928990926082,55.52695880283156,42.77829926071238
382.0,77.7551173315667,57.25376110719072,41.64020487128844
383.0,77.9351305595429,58.29058146369481,41.04465819419946
384.0,77.50800017298894,59.59198815548703,41.066995813485235
385.0,77.38150286103954,59.908155075622304,41.07744887182827
386.0,76.7192078112637,60.42812072330422,41.48468106231517
387.0,77.03076087269373,60.71240234679381,42.1831526682264
388.0,76.8827404611175,61.76307101153045,43.031197252372735
389.0,77.34078667957218,62.237266961417276,43.542567415289504
390.0,76.51941863483341,62.16650450652304,44.87124506250112
391.0,76.65857682228733,62.14029314361683,46.447577892946185
392.0,75.71793016042757,63.32887484991049,46.794566719799505
393.0,75.48531823054525,64.03366467098644,46.382380254503495
394.0,74.98809858172048,65.16946748572786,45.93274985986719
395.0,75.5527228399531,66.04685660884932,45.91854627238306
396.0,76.39067313236276,67.30164270100248,46.54775976560561
397.0,77.29948837718901,68.95844566702193,46.35223294373309
398.0,77.96739089045228,70.58583132787665,47.12380745545379
399.0,79.24783863125457,71.63564121078922,47.333719480708965
400.0,80.6968474054188,71.63079979176182,46.727499477249324
401.0,82.95874652794248,70.32616549414057,47.05786886178219
402.0,85.17784825070058,69.562661739698,48.52800686077209
403.0,86.56647326867186,68.86484760944018,50.03985024272755
404.0,85.47375519653978,67.3081083427208,50.1279288673861
405.0,85.34799928993843,65.3835399573888,50.600310727999194
406.0,85.43151682737661,63.92002920896905,51.204859657492506
